frame,Coord
667,1
667,3
667,6
668,1
668,6
668,3
669,6
669,1
669,4
670,6
670,4
671,6
673,5
674,5
675,5
676,5
677,5
678,5
679,5
679,2
680,2
680,7
681,2
681,7
682,2
682,7
683,2
683,7
684,2
684,7
685,2
685,7
685,8
686,3
686,2
686,8
686,7
687,3
687,8
687,7
688,3
688,8
688,1
688,6
689,3
689,8
689,6
689,1
690,6
690,1
690,3
690,8
691,6
691,1
691,3
692,6
692,1
692,3
693,6
693,1
694,6
694,1
695,6
695,5
695,1
696,6
696,5
697,6
698,5
699,5
700,5
701,5
701,7
702,7
702,5
703,7
704,7
705,7
706,2
706,7
707,2
707,7
708,2
708,7
709,2
709,7
710,2
710,3
710,8
711,3
711,2
711,8
712,3
712,4
712,2
712,8
713,3
713,4
713,8
713,6
714,3
714,1
714,6
714,8
715,1
715,3
715,6
715,4
715,8
716,1
716,6
716,3
716,4
717,1
717,6
717,4
718,1
718,6
719,1
719,6
720,1
720,6
720,5
721,1
721,5
721,6
722,5
722,1
723,5
723,7
724,7
724,5
725,7
725,5
726,7
727,7
728,7
729,7
729,2
730,2
730,7
731,2
731,7
732,2
733,2
734,2
734,3
735,3
735,2
735,4
736,3
736,2
737,3
737,8
738,3
738,8
739,3
739,8
739,4
740,4
740,6
740,3
740,1
741,1
741,5
742,1
742,5
743,1
743,5
743,6
744,5
744,1
744,6
745,1
745,5
746,1
746,5
747,1
747,5
748,7
748,5
748,1
749,7
750,7
751,7
752,7
753,7
754,2
755,2
756,2
757,2
758,2
758,3
758,7
758,4
759,2
759,4
759,8
759,3
760,2
760,3
760,4
760,8
761,2
761,3
761,4
761,8
762,3
762,6
762,4
763,3
763,6
763,4
764,6
764,3
764,8
764,5
765,6
765,5
766,3
766,6
766,1
766,5
767,1
767,5
768,1
769,1
769,7
770,1
770,7
771,2
771,7
771,5
772,2
772,7
773,1
773,7
774,1
774,7
775,7
780,3
781,3
782,3
783,8
783,3
783,3
784,3
784,8
785,3
785,8
785,6
785,3
786,3
786,3
786,6
786,8
787,3
787,3
788,6
788,3
788,3
790,7
791,7
792,7
792,2
793,2
793,7
794,2
794,7
795,2
795,7
796,2
796,7
797,2
798,2
799,2
800,2
