frame,Coord
359,"[(858.5, 257.5)]"
362,"[(575.5, 556.5)]"
363,"[(576.5, 555.5)]"
364,"[(580.0, 553.0)]"
365,"[(585.0, 552.0)]"
366,"[(592.0, 552.0)]"
367,"[(596.0, 558.0)]"
368,"[(603.5, 567.5)]"
379,"[(626.0, 304.0)]"
380,"[(624.5, 304.5)]"
381,"[(623.5, 302.5)]"
382,"[(623.0, 303.0), (777.5, 175.5)]"
383,"[(778.0, 174.0), (626.0, 297.0), (652.0, 423.0)]"
384,"[(624.5, 297.5), (777.0, 173.0), (650.0, 419.0)]"
385,"[(625.0, 299.0), (776.5, 171.5), (650.5, 417.5)]"
386,"[(623.0, 301.0), (775.0, 171.0), (652.5, 422.5)]"
387,"[(655.5, 430.5), (625.5, 304.5), (770.5, 169.5)]"
388,"[(766.5, 167.5), (661.0, 584.0)]"
389,"[(660.0, 583.0), (764.5, 166.5), (864.0, 260.0)]"
390,"[(663.0, 582.0), (866.5, 256.5)]"
391,"[(664.5, 577.5), (866.0, 255.0)]"
392,"[(666.0, 580.0), (867.5, 253.5)]"
393,"[(673.0, 577.0), (866.5, 253.5)]"
394,"[(681.5, 583.5), (866.5, 253.5)]"
395,"[(870.5, 253.5), (690.5, 590.5)]"
396,"[(872.0, 253.0), (694.5, 592.5)]"
397,"[(874.0, 252.0), (706.0, 595.0)]"
398,"[(868.5, 253.5)]"
413,"[(621.5, 321.5), (706.5, 444.5)]"
414,"[(701.0, 443.0), (620.5, 318.5), (745.5, 178.5)]"
415,"[(698.5, 442.5), (621.5, 313.5), (761.0, 609.0), (743.0, 175.0)]"
416,"[(703.0, 440.0), (622.0, 311.0), (761.5, 605.5), (741.5, 167.5)]"
417,"[(765.0, 603.0), (702.5, 436.5), (622.0, 307.0), (734.5, 167.5)]"
418,"[(734.5, 165.5), (708.5, 438.5), (765.5, 598.5), (621.5, 306.5)]"
419,"[(732.5, 164.5), (713.5, 439.5), (623.0, 306.0), (770.0, 597.0)]"
420,"[(717.5, 441.5), (729.0, 163.0), (623.0, 304.0), (773.0, 595.0)]"
421,"[(624.0, 305.0), (728.5, 163.5), (721.0, 443.0), (780.5, 592.5)]"
422,"[(726.0, 166.0), (784.0, 599.0), (625.5, 307.5)]"
423,"[(726.5, 165.5), (625.0, 309.0), (791.5, 604.5)]"
424,"[(625.0, 313.0), (727.5, 165.5), (801.0, 609.0)]"
425,"[(725.5, 166.5)]"
426,"[(864.5, 259.5)]"
427,"[(865.0, 259.0)]"
428,"[(863.0, 258.0)]"
429,"[(865.5, 255.5)]"
430,"[(863.0, 254.0)]"
431,"[(864.0, 253.0)]"
432,"[(862.5, 250.5)]"
433,"[(862.0, 250.0)]"
434,"[(864.5, 251.5)]"
443,"[(879.0, 623.0)]"
444,"[(892.0, 620.0)]"
445,"[(894.5, 614.5)]"
446,"[(894.0, 612.0)]"
447,"[(898.5, 605.5), (772.5, 452.5)]"
448,"[(905.5, 601.5), (771.0, 448.0), (722.0, 175.0)]"
449,"[(908.5, 602.5), (724.0, 174.0), (774.5, 447.5), (634.0, 328.0)]"
450,"[(633.5, 325.5), (915.0, 608.0), (720.5, 171.5), (775.5, 450.5)]"
451,"[(633.5, 322.5), (714.5, 167.5), (924.5, 612.5), (777.0, 453.0)]"
452,"[(630.5, 317.5), (711.5, 167.5), (771.5, 453.5), (928.0, 618.0)]"
453,"[(709.0, 166.0), (629.0, 312.0), (770.5, 454.5), (925.0, 619.0)]"
454,"[(703.0, 165.0), (627.0, 308.0)]"
455,"[(701.5, 162.5), (629.5, 306.5)]"
456,"[(696.5, 161.5), (630.0, 307.0)]"
457,"[(695.5, 161.5), (629.0, 307.0)]"
458,"[(693.0, 164.0), (626.0, 306.0)]"
462,"[(859.5, 243.5)]"
463,"[(857.5, 242.5)]"
464,"[(856.5, 243.5)]"
465,"[(854.5, 243.5)]"
466,"[(853.0, 242.0)]"
467,"[(847.0, 241.0)]"
468,"[(847.5, 239.5)]"
469,"[(848.0, 239.0)]"
470,"[(853.0, 239.0), (969.5, 628.5)]"
471,"[(972.0, 624.0)]"
473,"[(977.0, 606.0)]"
474,"[(981.5, 602.5)]"
475,"[(986.5, 601.5)]"
476,"[(991.0, 603.0)]"
477,"[(996.5, 599.5), (798.5, 442.5)]"
478,"[(800.5, 440.5), (1005.0, 602.0)]"
479,"[(801.5, 436.5), (1019.0, 606.0)]"
480,"[(799.0, 433.0), (1024.0, 609.0)]"
481,"[(801.5, 432.5), (1021.5, 608.5)]"
482,"[(800.5, 429.5), (1017.5, 612.5)]"
483,"[(801.5, 430.5)]"
484,"[(808.5, 433.5)]"
485,"[(644.0, 158.0)]"
486,"[(635.0, 157.0), (605.0, 316.0)]"
487,"[(631.0, 156.0), (603.0, 314.0)]"
488,"[(625.0, 153.0), (598.0, 306.0)]"
489,"[(620.5, 149.5), (586.5, 301.5)]"
490,"[(582.0, 296.0), (616.5, 142.5)]"
491,"[(580.5, 291.5), (613.5, 138.5)]"
492,"[(579.5, 282.5), (614.0, 134.0)]"
493,"[(580.5, 278.5), (605.0, 130.0)]"
494,"[(580.0, 277.0), (597.5, 126.5)]"
495,"[(578.5, 275.5)]"
497,"[(801.0, 192.0)]"
498,"[(795.5, 188.5), (1025.0, 554.0)]"
499,"[(1026.5, 547.5), (789.0, 186.0)]"
500,"[(784.0, 184.0), (1026.5, 544.5)]"
501,"[(781.5, 181.5), (1025.0, 537.0)]"
502,"[(782.0, 177.0), (1022.0, 529.0)]"
503,"[(1025.0, 526.0), (782.0, 172.0)]"
504,"[(1025.5, 523.5), (782.5, 171.5)]"
505,"[(1030.0, 521.0), (781.5, 171.5)]"
506,"[(780.0, 174.0), (1038.5, 526.5)]"
507,"[(778.5, 175.5), (1051.0, 533.0)]"
508,"[(1053.5, 536.5)]"
511,"[(807.0, 385.0)]"
512,"[(805.5, 386.5)]"
513,"[(801.0, 385.0)]"
514,"[(794.5, 385.5)]"
515,"[(793.0, 388.0)]"
516,"[(795.0, 391.0)]"
517,"[(795.5, 397.5)]"
518,"[(529.0, 135.0), (794.0, 403.0)]"
519,"[(523.0, 137.0)]"
520,"[(521.0, 140.0)]"
521,"[(515.5, 140.5)]"
